audio_file,error
69a49c607bc4b4963c8eec55_audio_ranking_explanation_1780249086330.webm,Failed to convert WebM to WAV
6a0ba8cf0028e2dbd9543d01_audio_missing_utopia_1780444134654.m4a,LibsndfileError: Error opening '/Volumes/storage/PROJECTS/Article_ExperimentalUtopianPrototypes/Article_ExperimentalUtopianPrototypes/Analyses/mainStudy/01_dataPreperation/outputs/audio_files/6a0ba8cf0028e2dbd9543d01_audio_missing_utopia_1780444134654.m4a': Format not recognised.
6a0ba8cf0028e2dbd9543d01_audio_ranking_explanation_1780444073845.m4a,LibsndfileError: Error opening '/Volumes/storage/PROJECTS/Article_ExperimentalUtopianPrototypes/Article_ExperimentalUtopianPrototypes/Analyses/mainStudy/01_dataPreperation/outputs/audio_files/6a0ba8cf0028e2dbd9543d01_audio_ranking_explanation_1780444073845.m4a': Format not recognised.
6a0d55dd872343b4ca601b43_audio_missing_utopia_1780379013805.m4a,LibsndfileError: Error opening '/Volumes/storage/PROJECTS/Article_ExperimentalUtopianPrototypes/Article_ExperimentalUtopianPrototypes/Analyses/mainStudy/01_dataPreperation/outputs/audio_files/6a0d55dd872343b4ca601b43_audio_missing_utopia_1780379013805.m4a': Format not recognised.
6a0d55dd872343b4ca601b43_audio_ranking_explanation_1780378955709.m4a,LibsndfileError: Error opening '/Volumes/storage/PROJECTS/Article_ExperimentalUtopianPrototypes/Article_ExperimentalUtopianPrototypes/Analyses/mainStudy/01_dataPreperation/outputs/audio_files/6a0d55dd872343b4ca601b43_audio_ranking_explanation_1780378955709.m4a': Format not recognised.
6a1874d2b6c7c957c0da8155_audio_missing_utopia_1780417186786.m4a,LibsndfileError: Error opening '/Volumes/storage/PROJECTS/Article_ExperimentalUtopianPrototypes/Article_ExperimentalUtopianPrototypes/Analyses/mainStudy/01_dataPreperation/outputs/audio_files/6a1874d2b6c7c957c0da8155_audio_missing_utopia_1780417186786.m4a': Format not recognised.
6a1874d2b6c7c957c0da8155_audio_ranking_explanation_1780417123947.m4a,LibsndfileError: Error opening '/Volumes/storage/PROJECTS/Article_ExperimentalUtopianPrototypes/Article_ExperimentalUtopianPrototypes/Analyses/mainStudy/01_dataPreperation/outputs/audio_files/6a1874d2b6c7c957c0da8155_audio_ranking_explanation_1780417123947.m4a': Format not recognised.
6a19e091d2daf772fc872ab4_audio_missing_utopia_1780193046852.m4a,LibsndfileError: Error opening '/Volumes/storage/PROJECTS/Article_ExperimentalUtopianPrototypes/Article_ExperimentalUtopianPrototypes/Analyses/mainStudy/01_dataPreperation/outputs/audio_files/6a19e091d2daf772fc872ab4_audio_missing_utopia_1780193046852.m4a': Format not recognised.
6a19e091d2daf772fc872ab4_audio_ranking_explanation_1780192991602.m4a,LibsndfileError: Error opening '/Volumes/storage/PROJECTS/Article_ExperimentalUtopianPrototypes/Article_ExperimentalUtopianPrototypes/Analyses/mainStudy/01_dataPreperation/outputs/audio_files/6a19e091d2daf772fc872ab4_audio_ranking_explanation_1780192991602.m4a': Format not recognised.
6a1a833bccaec91552e625e0_audio_missing_utopia_1780439588141.m4a,LibsndfileError: Error opening '/Volumes/storage/PROJECTS/Article_ExperimentalUtopianPrototypes/Article_ExperimentalUtopianPrototypes/Analyses/mainStudy/01_dataPreperation/outputs/audio_files/6a1a833bccaec91552e625e0_audio_missing_utopia_1780439588141.m4a': Format not recognised.
6a1a833bccaec91552e625e0_audio_ranking_explanation_1780439545426.m4a,LibsndfileError: Error opening '/Volumes/storage/PROJECTS/Article_ExperimentalUtopianPrototypes/Article_ExperimentalUtopianPrototypes/Analyses/mainStudy/01_dataPreperation/outputs/audio_files/6a1a833bccaec91552e625e0_audio_ranking_explanation_1780439545426.m4a': Format not recognised.
6a1b5df604fc63edaa0d2907_audio_missing_utopia_1780182781445.m4a,LibsndfileError: Error opening '/Volumes/storage/PROJECTS/Article_ExperimentalUtopianPrototypes/Article_ExperimentalUtopianPrototypes/Analyses/mainStudy/01_dataPreperation/outputs/audio_files/6a1b5df604fc63edaa0d2907_audio_missing_utopia_1780182781445.m4a': Format not recognised.
6a1b5df604fc63edaa0d2907_audio_ranking_explanation_1780182731860.m4a,LibsndfileError: Error opening '/Volumes/storage/PROJECTS/Article_ExperimentalUtopianPrototypes/Article_ExperimentalUtopianPrototypes/Analyses/mainStudy/01_dataPreperation/outputs/audio_files/6a1b5df604fc63edaa0d2907_audio_ranking_explanation_1780182731860.m4a': Format not recognised.
6a1b60641b46d923e3ce32a0_audio_ranking_explanation_1780188507529.webm,Failed to convert WebM to WAV
6a1b94860a6c2c63ea9f27a5_audio_missing_utopia_1780201758363.m4a,LibsndfileError: Error opening '/Volumes/storage/PROJECTS/Article_ExperimentalUtopianPrototypes/Article_ExperimentalUtopianPrototypes/Analyses/mainStudy/01_dataPreperation/outputs/audio_files/6a1b94860a6c2c63ea9f27a5_audio_missing_utopia_1780201758363.m4a': Format not recognised.
6a1b94860a6c2c63ea9f27a5_audio_ranking_explanation_1780201666891.m4a,LibsndfileError: Error opening '/Volumes/storage/PROJECTS/Article_ExperimentalUtopianPrototypes/Article_ExperimentalUtopianPrototypes/Analyses/mainStudy/01_dataPreperation/outputs/audio_files/6a1b94860a6c2c63ea9f27a5_audio_ranking_explanation_1780201666891.m4a': Format not recognised.
6a1e059be15d3ecab31583cc_audio_missing_utopia_1780430011569.m4a,LibsndfileError: Error opening '/Volumes/storage/PROJECTS/Article_ExperimentalUtopianPrototypes/Article_ExperimentalUtopianPrototypes/Analyses/mainStudy/01_dataPreperation/outputs/audio_files/6a1e059be15d3ecab31583cc_audio_missing_utopia_1780430011569.m4a': Format not recognised.
6a1e059be15d3ecab31583cc_audio_ranking_explanation_1780429961817.m4a,LibsndfileError: Error opening '/Volumes/storage/PROJECTS/Article_ExperimentalUtopianPrototypes/Article_ExperimentalUtopianPrototypes/Analyses/mainStudy/01_dataPreperation/outputs/audio_files/6a1e059be15d3ecab31583cc_audio_ranking_explanation_1780429961817.m4a': Format not recognised.
