audio_file,transcript_file,transcript_length,processing_time_seconds
5a80f74aaa46dd00016b7df9_audio_missing_utopia_1780194586719.webm,5a80f74aaa46dd00016b7df9_audio_missing_utopia_1780194586719_transcript.json,502,12.293627
5a80f74aaa46dd00016b7df9_audio_ranking_explanation_1780194493910.webm,5a80f74aaa46dd00016b7df9_audio_ranking_explanation_1780194493910_transcript.json,1563,25.941964
5b20c0474c72120001f25d90_audio_missing_utopia_1780192544079.webm,5b20c0474c72120001f25d90_audio_missing_utopia_1780192544079_transcript.json,445,9.691673
5b20c0474c72120001f25d90_audio_ranking_explanation_1780192104024.webm,5b20c0474c72120001f25d90_audio_ranking_explanation_1780192104024_transcript.json,793,16.518107
5e0e1b8800a6bf000a694f79_audio_missing_utopia_1780166362837.webm,5e0e1b8800a6bf000a694f79_audio_missing_utopia_1780166362837_transcript.json,114,5.051684
5e0e1b8800a6bf000a694f79_audio_ranking_explanation_1780166335425.webm,5e0e1b8800a6bf000a694f79_audio_ranking_explanation_1780166335425_transcript.json,668,15.890883
5e3a8aeedc1d57292aea3f22_audio_missing_utopia_1780162994597.webm,5e3a8aeedc1d57292aea3f22_audio_missing_utopia_1780162994597_transcript.json,683,11.290652
5e3a8aeedc1d57292aea3f22_audio_ranking_explanation_1780162912062.webm,5e3a8aeedc1d57292aea3f22_audio_ranking_explanation_1780162912062_transcript.json,748,12.194867
5e7acbd0373d5e0c087a112c_audio_missing_utopia_1780178507534.webm,5e7acbd0373d5e0c087a112c_audio_missing_utopia_1780178507534_transcript.json,451,11.247362
5e7acbd0373d5e0c087a112c_audio_ranking_explanation_1780178450105.webm,5e7acbd0373d5e0c087a112c_audio_ranking_explanation_1780178450105_transcript.json,519,10.078245
5e84f59e965b290c42fad433_audio_missing_utopia_1780167398103.webm,5e84f59e965b290c42fad433_audio_missing_utopia_1780167398103_transcript.json,415,7.333645
5e84f59e965b290c42fad433_audio_ranking_explanation_1780167360237.webm,5e84f59e965b290c42fad433_audio_ranking_explanation_1780167360237_transcript.json,1626,28.581056
5f68fdce1c675a0baf13e0ff_audio_missing_utopia_1780156361306.webm,5f68fdce1c675a0baf13e0ff_audio_missing_utopia_1780156361306_transcript.json,521,11.166619
5f68fdce1c675a0baf13e0ff_audio_ranking_explanation_1780156269889.webm,5f68fdce1c675a0baf13e0ff_audio_ranking_explanation_1780156269889_transcript.json,721,14.24913
60a69e84d2f871b61d608e89_audio_missing_utopia_1780182048203.webm,60a69e84d2f871b61d608e89_audio_missing_utopia_1780182048203_transcript.json,929,17.07148
60a69e84d2f871b61d608e89_audio_ranking_explanation_1780181740748.webm,60a69e84d2f871b61d608e89_audio_ranking_explanation_1780181740748_transcript.json,1945,35.777332
6100949844ff99c54b0e755e_audio_missing_utopia_1780195308057.webm,6100949844ff99c54b0e755e_audio_missing_utopia_1780195308057_transcript.json,857,16.845257
6100949844ff99c54b0e755e_audio_ranking_explanation_1780195122358.webm,6100949844ff99c54b0e755e_audio_ranking_explanation_1780195122358_transcript.json,3248,58.248978
661c92bc6f7ab864a9a96633_audio_missing_utopia_1780182623546.webm,661c92bc6f7ab864a9a96633_audio_missing_utopia_1780182623546_transcript.json,628,11.651726
