"PROLIFIC_PID","result_id","origin","event_index","durationblur","senderblur"
"6980f140677b5e0cbec2561d","15245","paradata_focus",1,3149.39999997616,"Greetings"
"5f888f1504ea37030833e9ec","15247","paradata_focus",1,1754.40000009537,"understandingText"
"5f888f1504ea37030833e9ec","15247","paradata_focus",2,1369,"understandingText"
"5f888f1504ea37030833e9ec","15247","paradata_focus",3,51997.5,"understandingText"
"5f888f1504ea37030833e9ec","15247","paradata_focus",4,1695.40000009537,"understandingText"
"5f888f1504ea37030833e9ec","15247","paradata_focus",5,107109.699999809,"understandingText"
"69ced52e0c7bfe72777b1f89","15250","paradata_focus",1,11542.6000000238,"Greetings"
"69ced52e0c7bfe72777b1f89","15250","paradata_focus",2,0.900000005960464,"quesPrototypeAssign"
"66ec53e096df305784c5aa6f","15251","paradata_focus",1,14894.700000003,"quesAttributes"
"69b86e94de9c503e9a58411d","15252","paradata_focus",1,1309.89999997616,"Greetings"
"69b86e94de9c503e9a58411d","15252","paradata_focus",2,8.10000002384186,"quesPrototypeAssign"
"60f657824394dac9902c821f","15255","paradata_focus",1,11274.9000000954,"ExclusionCriteria"
"60f657824394dac9902c821f","15255","paradata_focus",2,7131.10000002384,"ExclusionCriteria"
"69d384aa090e38d0a5d3da70","15260","paradata_focus",1,6371.5,"Scenario Text"
"5ee00907ed486334f7063e3a","15265","paradata_focus",1,NA,"Greetings"
"5ee00907ed486334f7063e3a","15265","paradata_focus",2,221465,"Greetings"
"5ee00907ed486334f7063e3a","15265","paradata_focus",3,584458,"Greetings"
"67a95d468d14bd6324b4bbba","15266","paradata_focus",1,20670,"understandingText"
"67a95d468d14bd6324b4bbba","15266","paradata_focus",2,2.5,"quesPrototypeAssign"
"696967a820034107da9a178c","15268","paradata_focus",1,50390.6000000089,"Greetings"
"696967a820034107da9a178c","15268","paradata_focus",2,25816,"Scenario Text"
"696967a820034107da9a178c","15268","paradata_focus",3,219.09999999404,"understandingText"
"696967a820034107da9a178c","15268","paradata_focus",4,215.09999999404,"understandingText"
"696967a820034107da9a178c","15268","paradata_focus",5,218.29999999702,"FeedbackScreen"
"69b57b2e2c7cfe69c1efee2d","15271","paradata_focus",1,3136,"Greetings"
"69ca42f47ec1021e94fd1f3b","15273","paradata_focus",1,1827.5,"TransitionToScenario"
"69b9dc367fe8a0f25c27fd3e","15275","paradata_focus",1,245.800000071526,"understandingText"
"6996d201e4546b84c632980a","15282","paradata_focus",1,341,"EndingScreen"
"6678813aec86d687a654dedb","15285","paradata_focus",1,518.600000023842,"SetupStudy"
"66ec53081cee4673ae883dce","15286","paradata_focus",1,3423.20000004768,"Scenario Text"
"66ec53081cee4673ae883dce","15286","paradata_focus",2,744.100000023842,"Scenario Text"
"6400d8e645e80091a53f9b21","15287","paradata_focus",1,1672.90000000596,"FeedbackScreen"
"66aa8d04719b0f5ef3433e9c","15288","paradata_focus",1,2519.59999999776,"Greetings"
"69ae84a0c39d68f88338d6e7","15289","paradata_focus",1,32655,"understandingText"
"69ae84a0c39d68f88338d6e7","15289","paradata_focus",2,634,"understandingText"
"69ae84a0c39d68f88338d6e7","15289","paradata_focus",3,106542,"understandingText"
"69ae84a0c39d68f88338d6e7","15289","paradata_focus",4,1101,"understandingText"
"69ae84a0c39d68f88338d6e7","15289","paradata_focus",5,37797,"understandingText"
"616c6bcb2a62b082dfe84ca1","15290","paradata_focus",1,125348.799999952,"InformedConsent"
"616c6bcb2a62b082dfe84ca1","15290","paradata_focus",2,33071.7000000477,"InformedConsent"
"616c6bcb2a62b082dfe84ca1","15290","paradata_focus",3,26798.7999999523,"Scenario Text"
"616c6bcb2a62b082dfe84ca1","15290","paradata_focus",4,0.899999976158142,"quesPrototypeAssign"
"675c89cc4e1a6bad637f454f","15291","paradata_focus",1,43797.3999999994,"Greetings"
"675c89cc4e1a6bad637f454f","15291","paradata_focus",2,92054.7000000002,"understandingText"
"6994de516d0bfd8811558579","15292","paradata_focus",1,4975.89999997616,"InformedConsent"
"6994de516d0bfd8811558579","15292","paradata_focus",2,1490.10000002384,"InformedConsent"
"6994de516d0bfd8811558579","15292","paradata_focus",3,1250.79999995232,"InformedConsent"
"67dc70145c70ad07748b3f1b","15299","paradata_focus",1,5575,"Scenario Text"
"673f6c92a931906b3b255300","15300","paradata_focus",1,3525.10000002384,"Greetings"
"69b32d9bb8ca8629fc044d19","15301","paradata_focus",1,2054.60000002384,"Greetings"
"6944279b6ce0185ccdba8208","15304","paradata_focus",1,496740.5,"Greetings"
