participant_id,study_condition,gender,age,cue,valence,response,response_position,response_level,timestamp,time_diff_sec,response_translated,sentiment_label,sentiment_score
6914df322c0ecd3bdadf7251,Diagnostic,male,33.0,Diagnostic,6.0,Richtig,1,1,2025-11-24 08:16:27.162,0.0,correct,POSITIVE,0.996664822101593
6914df322c0ecd3bdadf7251,Diagnostic,male,33.0,Diagnostic,7.0,Fortschritt,2,1,2025-11-24 08:16:35.087,7.92499995231628,progress,POSITIVE,0.9895360469818115
6914df322c0ecd3bdadf7251,Diagnostic,male,33.0,Diagnostic,5.0,Zukunft,3,1,2025-11-24 08:16:38.866,11.7039999961853,future,POSITIVE,0.9842697381973267
6914df322c0ecd3bdadf7251,Diagnostic,male,33.0,Diagnostic,6.0,Zusammenspiel,4,1,2025-11-24 08:16:46.704,19.5420000553131,interaction,POSITIVE,0.9849717020988464
6914df322c0ecd3bdadf7251,Diagnostic,male,33.0,Diagnostic,7.0,Verbesserung,5,1,2025-11-24 08:16:54.584,27.422000169754,improvement,POSITIVE,0.9968281388282776
6914df322c0ecd3bdadf7251,Diagnostic,male,33.0,Richtig,,Moralisch,1,2,2025-11-24 08:17:28.772,61.6100001335144,moral,POSITIVE,0.9529480338096619
6914df322c0ecd3bdadf7251,Diagnostic,male,33.0,Richtig,,Bessere Überlebenschancen,2,2,2025-11-24 08:17:43.200,76.0380001068115,better survival chances,POSITIVE,0.9982196688652039
6914df322c0ecd3bdadf7251,Diagnostic,male,33.0,Richtig,,Früherkennung,3,2,2025-11-24 08:17:46.542,79.3800001144409,early detection,POSITIVE,0.9982450008392334
6914df322c0ecd3bdadf7251,Diagnostic,male,33.0,Richtig,,Gleichheit,4,2,2025-11-24 08:17:52.758,85.595999956131,equality,POSITIVE,0.9873156547546387
6914df322c0ecd3bdadf7251,Diagnostic,male,33.0,Richtig,,Niveau Steigerung,5,2,2025-11-24 08:18:02.481,95.3190000057221,level increase,POSITIVE,0.9955850839614868
6914df322c0ecd3bdadf7251,Diagnostic,male,33.0,Fortschritt,,Vorreiter,1,2,2025-11-24 08:18:09.888,102.726000070572,pioneer,POSITIVE,0.9973964691162109
6914df322c0ecd3bdadf7251,Diagnostic,male,33.0,Fortschritt,,Zukunft,2,2,2025-11-24 08:18:36.167,129.005000114441,future,POSITIVE,0.9842697381973267
6914df322c0ecd3bdadf7251,Diagnostic,male,33.0,Fortschritt,,Notwendig,3,2,2025-11-24 08:18:46.623,139.460999965668,necessary,POSITIVE,0.9970996379852295
6914df322c0ecd3bdadf7251,Diagnostic,male,33.0,Fortschritt,,Fortschreitend,4,2,2025-11-24 08:18:53.192,146.02999997139,progressive,NEGATIVE,-0.9684903025627136
6914df322c0ecd3bdadf7251,Diagnostic,male,33.0,Fortschritt,,Unaufhaltsam,5,2,2025-11-24 08:19:02.335,155.173000097275,unstoppable,POSITIVE,0.9983500242233276
6914df322c0ecd3bdadf7251,Diagnostic,male,33.0,Zukunft,,Planbar,1,2,2025-11-24 08:19:11.294,164.131999969482,plannable,POSITIVE,0.9971785545349121
6914df322c0ecd3bdadf7251,Diagnostic,male,33.0,Zukunft,,Flexibel,2,2,2025-11-24 08:19:35.832,188.670000076294,flexible,POSITIVE,0.9973303079605103
6914df322c0ecd3bdadf7251,Diagnostic,male,33.0,Zukunft,,Verbesserung,3,2,2025-11-24 08:19:42.544,195.381999969482,improvement,POSITIVE,0.9968281388282776
6914df322c0ecd3bdadf7251,Diagnostic,male,33.0,Zukunft,,Robotik,4,2,2025-11-24 08:19:50.948,203.786000013351,robotics,NEGATIVE,-0.9901745319366455
6914df322c0ecd3bdadf7251,Diagnostic,male,33.0,Zukunft,,Künstliche Intelligenz,5,2,2025-11-24 08:20:04.452,217.289999961853,artificial intelligence,NEGATIVE,-0.9967730641365051
6914df322c0ecd3bdadf7251,Diagnostic,male,33.0,Zusammenspiel,,Mensch und KI,1,2,2025-11-24 08:20:14.792,227.630000114441,human and AI,POSITIVE,0.9927763938903809
6914df322c0ecd3bdadf7251,Diagnostic,male,33.0,Zusammenspiel,,Erfahrung und Fortschritt,2,2,2025-11-24 08:20:25.895,238.733000040054,experience and progress,POSITIVE,0.9976531863212585
6914df322c0ecd3bdadf7251,Diagnostic,male,33.0,Zusammenspiel,,Aufgabenteilung,3,2,2025-11-24 08:20:37.703,250.541000127792,task division,POSITIVE,0.6498898863792419
6914df322c0ecd3bdadf7251,Diagnostic,male,33.0,Zusammenspiel,,Aufsicht,4,2,2025-11-24 08:20:39.304,252.141999959946,supervision,POSITIVE,0.9748265743255615
6914df322c0ecd3bdadf7251,Diagnostic,male,33.0,Zusammenspiel,,Entscheidungsfindung,5,2,2025-11-24 08:20:47.217,260.055000066757,decision making,POSITIVE,0.9871002435684204
6914df322c0ecd3bdadf7251,Diagnostic,male,33.0,Verbesserung,,Lebenserwartung,1,2,2025-11-24 08:21:00.799,273.637000083923,life expectancy,POSITIVE,0.9793659448623657
6914df322c0ecd3bdadf7251,Diagnostic,male,33.0,Verbesserung,,Gesundheit,2,2,2025-11-24 08:21:14.920,287.758000135422,health,POSITIVE,0.9917482137680054
6914df322c0ecd3bdadf7251,Diagnostic,male,33.0,Verbesserung,,Erfahrung,3,2,2025-11-24 08:21:16.888,289.726000070572,experience,POSITIVE,0.9953617453575134
6914df322c0ecd3bdadf7251,Diagnostic,male,33.0,Verbesserung,,Ernährung,4,2,2025-11-24 08:21:19.440,292.278000116348,nutrition,POSITIVE,0.6261550784111023
6914df322c0ecd3bdadf7251,Diagnostic,male,33.0,Verbesserung,,Sport,5,2,2025-11-24 08:21:23.879,296.717000007629,sport,POSITIVE,0.9545321464538574
6915bc1300f2b6fe6ba76e5c,Diagnostic,female,41.0,Diagnostic,5.0,Labor,1,1,2025-11-24 08:21:17.228,0.0,laboratory,NEGATIVE,-0.8290252685546875
6915bc1300f2b6fe6ba76e5c,Diagnostic,female,41.0,Diagnostic,5.0,Bildschirm,2,1,2025-11-24 08:21:29.604,12.3760001659393,screen,NEGATIVE,-0.9148800373077393
6915bc1300f2b6fe6ba76e5c,Diagnostic,female,41.0,Diagnostic,5.0,Arzt,3,1,2025-11-24 08:21:35.664,18.4360001087189,doctor,POSITIVE,0.9614171385765076
6915bc1300f2b6fe6ba76e5c,Diagnostic,female,41.0,Diagnostic,4.0,Patient,4,1,2025-11-24 08:21:49.509,32.2810001373291,patient,POSITIVE,0.9850612282752991
6915bc1300f2b6fe6ba76e5c,Diagnostic,female,41.0,Diagnostic,4.0,Tastatur,5,1,2025-11-24 08:22:07.479,50.2510001659393,keyboard,NEGATIVE,-0.9674510955810547
6915bc1300f2b6fe6ba76e5c,Diagnostic,female,41.0,Labor,,Blutprobe,1,2,2025-11-24 08:22:58.556,101.328000068665,blood sample,NEGATIVE,-0.9479963183403015
6915bc1300f2b6fe6ba76e5c,Diagnostic,female,41.0,Labor,,Analyse,2,2,2025-11-24 08:23:02.592,105.364000082016,analysis,POSITIVE,0.6195233464241028
6915bc1300f2b6fe6ba76e5c,Diagnostic,female,41.0,Labor,,Befund,3,2,2025-11-24 08:23:18.395,121.167000055313,finding,POSITIVE,0.9961597919464111
6915bc1300f2b6fe6ba76e5c,Diagnostic,female,41.0,Labor,,Krankheit,4,2,2025-11-24 08:23:22.460,125.232000112534,disease,NEGATIVE,-0.9917833805084229
6915bc1300f2b6fe6ba76e5c,Diagnostic,female,41.0,Labor,,Datenverarbeitung,5,2,2025-11-24 08:23:46.716,149.488000154495,data processing,POSITIVE,0.60731041431427
6915bc1300f2b6fe6ba76e5c,Diagnostic,female,41.0,Bildschirm,,Überprüfung,1,2,2025-11-24 08:24:07.792,170.5640001297,verification,POSITIVE,0.9712226986885071
6915bc1300f2b6fe6ba76e5c,Diagnostic,female,41.0,Bildschirm,,Schnittstelle,2,2,2025-11-24 08:24:10.964,173.736000061035,interface,NEGATIVE,-0.9648100733757019
6915bc1300f2b6fe6ba76e5c,Diagnostic,female,41.0,Bildschirm,,Arzt,3,2,2025-11-24 08:24:18.269,181.041000127792,doctor,POSITIVE,0.9614171385765076
6915bc1300f2b6fe6ba76e5c,Diagnostic,female,41.0,Bildschirm,,Anzeige,4,2,2025-11-24 08:24:39.990,202.762000083923,display,NEGATIVE,-0.8108022809028625
6915bc1300f2b6fe6ba76e5c,Diagnostic,female,41.0,Bildschirm,,Interpretation,5,2,2025-11-24 08:24:52.463,215.235000133514,interpretation,POSITIVE,0.9776596426963806
6915bc1300f2b6fe6ba76e5c,Diagnostic,female,41.0,Arzt,,Entscheidung,1,2,2025-11-24 08:25:24.684,247.456000089645,decision,POSITIVE,0.9792174100875854
6915bc1300f2b6fe6ba76e5c,Diagnostic,female,41.0,Arzt,,Krankenhaus,2,2,2025-11-24 08:25:55.832,278.604000091553,hospital,POSITIVE,0.9423305988311768
6915bc1300f2b6fe6ba76e5c,Diagnostic,female,41.0,Arzt,,Praxis,3,2,2025-11-24 08:25:59.064,281.835999965668,practice,NEGATIVE,-0.977937638759613
6915bc1300f2b6fe6ba76e5c,Diagnostic,female,41.0,Arzt,,Bericht,4,2,2025-11-24 08:26:18.910,301.682000160217,report,POSITIVE,0.6975563168525696
6915bc1300f2b6fe6ba76e5c,Diagnostic,female,41.0,Arzt,,Behandlung,5,2,2025-11-24 08:26:23.313,306.085000038147,treatment,POSITIVE,0.9537341594696045
6915bc1300f2b6fe6ba76e5c,Diagnostic,female,41.0,Patient,,Unfall,1,2,2025-11-24 08:26:37.001,319.773000001907,accident,NEGATIVE,-0.9932460188865662
6915bc1300f2b6fe6ba76e5c,Diagnostic,female,41.0,Patient,,Sorge,2,2,2025-11-24 08:26:39.326,322.098000049591,concern,NEGATIVE,-0.9934810400009155
6915bc1300f2b6fe6ba76e5c,Diagnostic,female,41.0,Patient,,Schmerz,3,2,2025-11-24 08:26:52.099,334.871000051498,pain,NEGATIVE,-0.9927412271499634
6915bc1300f2b6fe6ba76e5c,Diagnostic,female,41.0,Patient,,Vertrauen,4,2,2025-11-24 08:26:57.394,340.166000127792,trust,POSITIVE,0.9967392086982727
6915bc1300f2b6fe6ba76e5c,Diagnostic,female,41.0,Patient,,Krankheit,5,2,2025-11-24 08:27:24.088,366.860000133514,disease,NEGATIVE,-0.9917833805084229
6915bc1300f2b6fe6ba76e5c,Diagnostic,female,41.0,Tastatur,,Eingabe,1,2,2025-11-24 08:27:33.621,376.393000125885,input,POSITIVE,0.9870507717132568
6915bc1300f2b6fe6ba76e5c,Diagnostic,female,41.0,Tastatur,,Programm,2,2,2025-11-24 08:27:57.577,400.348999977112,program,POSITIVE,0.9871786832809448
6915bc1300f2b6fe6ba76e5c,Diagnostic,female,41.0,Tastatur,,Parameter,3,2,2025-11-24 08:28:05.062,407.834000110626,parameter,NEGATIVE,-0.9799278974533081
6915bc1300f2b6fe6ba76e5c,Diagnostic,female,41.0,Tastatur,,Kommunikation,4,2,2025-11-24 08:28:19.702,422.473999977112,communication,NEGATIVE,-0.8704233765602112
6915bc1300f2b6fe6ba76e5c,Diagnostic,female,41.0,Tastatur,,Befehl,5,2,2025-11-24 08:28:30.128,432.900000095367,command,POSITIVE,0.9090266823768616
672dc833e51f3daa46245836,Diagnostic,male,35.0,Diagnostic,1.0,Gefährlich,1,1,2025-11-24 08:19:29.081,0.0,dangerous,NEGATIVE,-0.998111367225647
672dc833e51f3daa46245836,Diagnostic,male,35.0,Diagnostic,6.0,Fortschrittlich,2,1,2025-11-24 08:20:19.837,50.7559998035431,progressive,NEGATIVE,-0.9684903025627136
672dc833e51f3daa46245836,Diagnostic,male,35.0,Diagnostic,2.0,Moralische Bedenken,3,1,2025-11-24 08:20:51.737,82.6559998989105,moral concerns,NEGATIVE,-0.9921587705612183
672dc833e51f3daa46245836,Diagnostic,male,35.0,Diagnostic,1.0,Falschdiagnose,4,1,2025-11-24 08:21:04.661,95.5799999237061,misdiagnosis,NEGATIVE,-0.9984062314033508
672dc833e51f3daa46245836,Diagnostic,male,35.0,Diagnostic,4.0,Zukunft,5,1,2025-11-24 08:21:22.706,113.625,future,POSITIVE,0.9842697381973267
672dc833e51f3daa46245836,Diagnostic,male,35.0,Gefährlich,,Falsche Diagnosen,1,2,2025-11-24 08:22:31.781,182.699999809265,false diagnoses,NEGATIVE,-0.9993231296539307
672dc833e51f3daa46245836,Diagnostic,male,35.0,Gefährlich,,Arzt wird unbrauchbar,2,2,2025-11-24 08:23:14.901,225.819999933243,doctor becomes useless,NEGATIVE,-0.9994379878044128
672dc833e51f3daa46245836,Diagnostic,male,35.0,Gefährlich,,Fehlende Empathie,3,2,2025-11-24 08:23:31.427,242.345999956131,lack of empathy,NEGATIVE,-0.9994833469390869
672dc833e51f3daa46245836,Diagnostic,male,35.0,Gefährlich,,Zu Objektiv,4,2,2025-11-24 08:24:27.963,298.881999969482,too objective,NEGATIVE,-0.9985779523849487
672dc833e51f3daa46245836,Diagnostic,male,35.0,Gefährlich,,ohne Gewissen,5,2,2025-11-24 08:25:22.675,353.593999862671,without conscience,NEGATIVE,-0.9845906496047974
672dc833e51f3daa46245836,Diagnostic,male,35.0,Fortschrittlich,,Zeitsparend,1,2,2025-11-24 08:25:39.553,370.471999883652,time-saving,POSITIVE,0.9982540011405945
