"result_id","PROLIFIC_PID","dummy_informedconsent","hp_exclusionCriteria","commCheck","counterVisualTraps","visualTrapResponse","visualTrap_Planets_response","visualTrap_Planets_responseLabel","visualTrap_Planets_correct","visualTrap_Planets_rtMs","visualTrap_Collision_response","visualTrap_Collision_responseLabel","visualTrap_Collision_correct","visualTrap_Collision_rtMs","visualTrap_CafeWall_response","visualTrap_CafeWall_responseLabel","visualTrap_CafeWall_correct","visualTrap_CafeWall_rtMs","visualTrap_Circles_response","visualTrap_Circles_responseLabel","visualTrap_Circles_correct","visualTrap_Circles_rtMs","visualTrap_Lines_response","visualTrap_Lines_responseLabel","visualTrap_Lines_correct","visualTrap_Lines_rtMs","visualTrap_Robot_response","visualTrap_Robot_responseLabel","visualTrap_Robot_correct","visualTrap_Robot_rtMs","visualTrap_order","condition_FutureSociety","cue","cue_coding","R1","R2","R3","R4","R5","para_countclicks","AR-2","AR-5","AR-3","AR-1","AR-4","undUtopiaGeneral","undUtopiaGoal","undUtopiaHow","clearUtopia","clearUtopiatext","biasUtopia","biasUtopiatext","attributesFutureSociety-5","attributesFutureSociety-6","attributesFutureSociety-2","attributesFutureSociety-3","attributesFutureSociety-4","attributesFutureSociety-7","attributesFutureSociety-1","attributesFutureSociety-8","utopiaPrototypeAssignment","protoConfidenceRadio","protoReasonText","feedback_critic","assoc1_response","assoc1_valence","assoc2_response","assoc2_valence","assoc3_response","assoc3_valence","assoc4_response","assoc4_valence","assoc5_response","assoc5_valence","para_static_userAgent","para_static_platform","para_static_language","para_static_languages","para_static_cookieEnabled","para_static_online","para_static_webdriver","para_static_hardwareConcurrency","para_static_deviceMemory","para_static_maxTouchPoints","para_static_screen_width","para_static_screen_height","para_static_screen_availWidth","para_static_screen_availHeight","para_static_screen_colorDepth","para_static_screen_pixelDepth","para_static_viewport_innerWidth","para_static_viewport_outerWidth","para_static_viewport_outerHeight","para_static_viewport_devicePixelRatio","para_static_page_url","para_static_page_hostname","para_static_page_pathname","para_static_page_protocol","para_static_page_referrer","para_static_page_title","para_static_locale_timezone","para_static_locale_timezoneOffset","para_static_network_effectiveType","para_static_network_downlink","para_static_network_rtt","para_static_network_saveData","para_static_mediaQueries_prefersDarkScheme","para_static_mediaQueries_prefersReducedMotion","para_static_mediaQueries_prefersReducedTransparency","para_static_mediaQueries_prefersContrastMore","para_static_mediaQueries_pointerCoarse","para_static_mediaQueries_pointerFine","para_static_mediaQueries_hover","para_static_features_localStorage","para_static_features_sessionStorage","para_static_features_indexedDB","para_static_features_serviceWorker","para_static_features_bluetooth","para_static_features_usb","para_static_features_clipboard","para_static_features_mediaDevices","para_static_features_permissions","para_static_features_storageManager","para_static_features_visualViewport","para_ip_ip","para_ip_network","para_ip_version","para_ip_city","para_ip_region","para_ip_region_code","para_ip_country","para_ip_country_name","para_ip_country_code","para_ip_country_code_iso3","para_ip_country_capital","para_ip_country_tld","para_ip_in_eu","para_ip_postal","para_ip_latitude","para_ip_longitude","para_ip_timezone","para_ip_utc_offset","para_ip_country_calling_code","para_ip_currency","para_ip_currency_name","para_ip_languages","para_ip_country_area","para_ip_country_population","para_ip_asn","para_ip_org","para_meta_startedAt","keyStats_count","keyStats_mean","keyStats_median","keyStats_min","keyStats_max","para_static_viewport_innerHeight","para_static_doNotTrack","para_ip_continent_code","State","Duration","duration_seconds"
"15245","6980f140677b5e0cbec2561d","1","FALSE","1",5,"3","2","Orange",TRUE,19249,"1","Green Triangle Only",TRUE,29999,"3","Slanted / Diagonal",TRUE,19299,"2","Red Circle",TRUE,29661,"1","Blue Line",TRUE,10760,"3","Mostly around the center of the square",TRUE,12432,"Planets // Collision // CafeWall // Circles // Lines // Robot","religious","described future society","religious","dystopian","unrealistic","theocracy","fantasy","unlikely",2,"1","1","4","1","3","The future society is mainly governed by religion and tries to keep other institutions' power to a minimum. They believe in supernatural powers as means to improve society.","Their main goals are to improve the lives of their people.","This society uses religion and supernatural powers to achieve these goals","3",NA,"2",NA,"7","5","3","3","3","6","7","1","religious_millennial","7",NA,NA,"dystopian","1","unrealistic","1","theocracy","4","fantasy","3","unlikely","1","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","MacIntel","en-US","[""en-US"",""en""]",TRUE,TRUE,FALSE,2,8,0,1280,800,1280,800,24,24,1280,1280,800,2,"https://weblab.psychologie.uni-freiburg.de/publix/73de9bfd-902c-4a6c-a0a6-c12c47beb4a3/e5fd669b-793d-4feb-b75a-50c06ef50ba3/start","weblab.psychologie.uni-freiburg.de","/publix/73de9bfd-902c-4a6c-a0a6-c12c47beb4a3/e5fd669b-793d-4feb-b75a-50c06ef50ba3/start","https:","https://app.prolific.com/","Study","America/Chicago",300,"4g",6.05,0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"2601:240:e301:4470:4dca:7705:98db:1088","2601:240:e301::/48","IPv6","Chicago","Illinois","IL","US","United States","US","USA","Washington",".us",FALSE,"60614",41.921,-87.6454,"America/Chicago","-0500","+1","USD","Dollar","en-US,es-US,haw,fr",9629091,327167434,"AS7922","Comcast Cable Communications, LLC","2026-04-07T09:39:19.905Z",410,308.312682926655,156.000000059605,16.0999999046326,22352,NA,NA,NA,"FINISHED","00:08:58",538
"15246","69d46a112c7ba62da0198176","1","FALSE","1",5,"1","2","Orange",TRUE,21583,"1","Green Triangle Only",TRUE,14344,"3","Slanted / Diagonal",TRUE,24676,"2","Red Circle",TRUE,7571,"1","Blue Line",TRUE,4166,"2","Mostly on the upper right of the square",FALSE,21593,"Planets // Robot // Circles // CafeWall // Lines // Collision","religious","described future society","religious","Spiritual","restrained","religious Power","crisis is over","monarchy",2,"1","3","5","5","7","The future society's people use religious power to keep the common people in check. They don't let one person besides the ruler, gain much power.","The main goal is to keep the common people in their control. The other main goal is keep everyone following their religion. And the last goal is let no one disobey the monarchy.","One practice is justifiying the crown/ruler by saying he was fit to rule under religious power. Everyone just follows the same religion, which is another practice. And the monarchy punishes whoever disobeys them, under religious authority.","4",NA,"2",NA,"5","5","2","2","1","5","2","7","religious_millennial","7",NA,"No, N/A","Spiritual","5","restrained","1","religious Power","5","crisis is over","7","monarchy","3","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36","Win32","en-US","[""en-US"",""en""]",TRUE,TRUE,FALSE,12,8,0,1920,1080,1920,1032,32,32,1920,1904,1064,1,"https://weblab.psychologie.uni-freiburg.de/publix/b7c4d6b8-c462-4564-94da-91297b79137f/e5fd669b-793d-4feb-b75a-50c06ef50ba3/start","weblab.psychologie.uni-freiburg.de","/publix/b7c4d6b8-c462-4564-94da-91297b79137f/e5fd669b-793d-4feb-b75a-50c06ef50ba3/start","https:","https://app.prolific.com/","Study","America/New_York",240,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"137.52.180.46","137.52.176.0/20","IPv4","Davie","Florida","FL","US","United States","US","USA","Washington",".us",FALSE,"33314",26.0703,-80.2248,"America/New_York","-0400","+1","USD","Dollar","en-US,es-US,haw,fr",9629091,327167434,"AS33670","Nova University","2026-04-07T09:46:02.825Z",773,491.967529107497,197.899999976158,0.699999928474426,68999.6000000238,1080,NA,NA,"FINISHED","00:09:39",579
"15247","5f888f1504ea37030833e9ec","1","FALSE","1",5,"3","2","Orange",TRUE,35656,"1","Green Triangle Only",TRUE,31167,"3","Slanted / Diagonal",TRUE,219881,"2","Red Circle",TRUE,10175,"1","Blue Line",TRUE,16080,"3","Mostly around the center of the square",TRUE,38839,"Lines // Collision // Robot // Circles // Planets // CafeWall","anarchic","described future society","anarchic","Peaceful","Happy","Cooperative","Equal","Honest",0,"7","7","7","7","7","This society is focused on fairness, shared governance, and universal equality, where the collective welfare of the people guides decisions.","the main goals of this society are to create a fair and harmonious environment where every individual can thrive.","This society combines cooperation and participation to make equality and well-being not just ideals, but lived realities.","4",NA,"2",NA,"7","7","7","7","7","7","7","7","moral_commonwealth_anarchic","6",NA,NA,"Peaceful","7","Happy","7","Cooperative","7","Equal","7","Honest","7","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Mobile Safari/537.36","Linux armv81","en-GB","[""en-GB"",""en-US"",""en""]",TRUE,TRUE,FALSE,8,2,5,534,854,534,854,24,24,534,534,NA,1.5,"https://weblab.psychologie.uni-freiburg.de/publix/9e086eb4-2584-4d3e-9cd5-39d24fb09785/e5fd669b-793d-4feb-b75a-50c06ef50ba3/start","weblab.psychologie.uni-freiburg.de","/publix/9e086eb4-2584-4d3e-9cd5-39d24fb09785/e5fd669b-793d-4feb-b75a-50c06ef50ba3/start","https:","https://app.prolific.com/","Study","America/New_York",240,"3g",NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"48.44.34.64","48.44.0.0/17","IPv4","Ashburn","Virginia","VA","US","United States","US","USA","Washington",".us",FALSE,"20149",39.0437,-77.4875,"America/New_York","-0400","+1","USD","Dollar","en-US,es-US,haw,fr",9629091,327167434,"AS7922","Comcast Cable Communications, LLC","2026-04-07T09:56:09.437Z",348,1653.08908045977,195,51,270571,NA,NA,NA,"FINISHED","00:26:01",1561
"15248","62d43cee3d60ac98c1dcacc8","1","FALSE","1",5,"3","2","Orange",TRUE,20743,"1","Green Triangle Only",TRUE,30119,"3","Slanted / Diagonal",TRUE,22224,"2","Red Circle",TRUE,12662,"1","Blue Line",TRUE,7872,"3","Mostly around the center of the square",TRUE,11992,"CafeWall // Circles // Collision // Planets // Lines // Robot","lawBased","described future society","lawBased","Struggling","Tense","Strict","Imperfect","Developing",4,"1","4","4","1","4","This future society recently overcame a period of crisis and uses laws and regulations through a government to try to maintain stability within it.","The main goals of this future society are to overcome the struggles that it is going through in relation to the limited resources that it has.","This society works to achieve these goals through enforcement of rules.","4",NA,"2",NA,"4","4","1","1","4","4","1","7","institutional_law","7",NA,NA,"Struggling","1","Tense","1","Strict","4","Imperfect","4","Developing","4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36","Win32","en-US","[""en-US"",""en""]",TRUE,TRUE,FALSE,8,8,0,1600,900,1600,852,32,32,1600,1600,900,1,"https://weblab.psychologie.uni-freiburg.de/publix/15ce5c8b-fee4-44ec-8468-a67bcb936786/e5fd669b-793d-4feb-b75a-50c06ef50ba3/start","weblab.psychologie.uni-freiburg.de","/publix/15ce5c8b-fee4-44ec-8468-a67bcb936786/e5fd669b-793d-4feb-b75a-50c06ef50ba3/start","https:","https://app.prolific.com/","Study","America/New_York",240,"4g",10,100,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"24.192.168.61","24.192.160.0/20","IPv4","Clinton Township","Michigan","MI","US","United States","US","USA","Washington",".us",FALSE,"48035",42.5538,-82.9185,"America/Detroit","-0400","+1","USD","Dollar","en-US,es-US,haw,fr",9629091,327167434,"AS12083","WideOpenWest Finance LLC","2026-04-07T10:09:50.444Z",512,1052.29628906248,238.200000017881,10.3000000119209,64372.6999999881,900,NA,NA,"FINISHED","00:17:42",1062
"15249","583ef6f5ad2f4300014b358d","1","FALSE","1",5,"3","2","Orange",TRUE,27640,"1","Green Triangle Only",TRUE,44510,"3","Slanted / Diagonal",TRUE,34536,"2","Red Circle",TRUE,15574,"1","Blue Line",TRUE,9274,"3","Mostly around the center of the square",TRUE,32121,"Circles // Planets // Robot // Lines // Collision // CafeWall","futurist","described future society","futurist","intelligent","peaceful","mindful","advance","productive",0,"7","7","7","7","7","They have basic needs but they arent in abundance so they use science and technolgy to help get the most of wha they do have and worked together to make sure that rules and guidelines are followed to keep things working and they also use science and technolgy based systems to create these rules and guideline which creates tension for those who are concerned with how trustworthy and effective they are","To use science and technolgy to evolve into a better society and make sure that basic needs are met for all and they have enough resources ","rules and guidelines created using science and technology","3",NA,"3","I felt that the only negative thing mentions wasnt so much that they didnt like the rules or how it was run but that there were concerns for how trustworthy some of the sources to create the rules and guidelines were but to me it otherwise seemed positive and didnt see it as being negative enough to be viewed as being negative or neutral mostly postive ","3","7","5","5","6","3","5","4","futurist","7",NA,NA,"intelligent","7","peaceful","7","mindful","7","advance","7","productive","7","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36","Win32","en-US","[""en-US"",""en""]",TRUE,TRUE,FALSE,20,8,0,1536,960,1536,960,32,32,1536,1522,946,1.25,"https://weblab.psychologie.uni-freiburg.de/publix/8e810cd9-0823-42b0-b134-787e32be19e4/e5fd669b-793d-4feb-b75a-50c06ef50ba3/start","weblab.psychologie.uni-freiburg.de","/publix/8e810cd9-0823-42b0-b134-787e32be19e4/e5fd669b-793d-4feb-b75a-50c06ef50ba3/start","https:","https://app.prolific.com/","Study","America/New_York",240,"4g",10,50,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"2600:4040:26b3:a900:9986:e4e8:9b05:b68c","2600:4040:26b0::/46","IPv6","Woodbridge","Virginia","VA","US","United States","US","USA","Washington",".us",FALSE,"22193",38.6438,-77.3451,"America/New_York","-0400","+1","USD","Dollar","en-US,es-US,haw,fr",9629091,327167434,"AS701","Verizon Business","2026-04-07T10:11:49.423Z",1279,347.296247068022,162.100000000093,9.79999999981374,27897.2000000002,960,NA,NA,"FINISHED","00:14:31",871
"15250","69ced52e0c7bfe72777b1f89","1","FALSE","1",5,"1","2","Orange",TRUE,26180,"1","Green Triangle Only",TRUE,30105,"3","Slanted / Diagonal",TRUE,20606,"2","Red Circle",TRUE,6732,"1","Blue Line",TRUE,6820,"3","Mostly around the center of the square",TRUE,7067,"Collision // Robot // Planets // Circles // CafeWall // Lines","moderngreen","described future society","moderngreen","self sustaining","rebuilding society","renewable energy","rebuilding","determined",1,"7","7","7","7","7","a society of people in the future that survived a great tragedy and over came now relying on renewable clean energy to survive","to thrive and rebuild a community","they keep pushing to survive while rebuilding their entire society","4",NA,"2",NA,"7","7","7","7","7","7","4","4","futurist","5",NA,"this was interesting thank you!","self sustaining","7","rebuilding society","7","renewable energy","7","rebuilding","7","determined","7","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36","Win32","en-US","[""en-US"",""en""]",TRUE,TRUE,FALSE,4,8,0,1366,768,1366,720,32,32,1366,1350,752,1,"https://weblab.psychologie.uni-freiburg.de/publix/a9edc443-7360-4377-97e3-724cce83cac1/e5fd669b-793d-4feb-b75a-50c06ef50ba3/start","weblab.psychologie.uni-freiburg.de","/publix/a9edc443-7360-4377-97e3-724cce83cac1/e5fd669b-793d-4feb-b75a-50c06ef50ba3/start","https:","https://app.prolific.com/","Study","America/New_York",240,"4g",10,50,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"2601:704:101:af0:65e4:d51:f6c4:147e","2601:704:100::/47","IPv6","Venice","Florida","FL","US","United States","US","USA","Washington",".us",FALSE,"34293",27.0602,-82.3533,"America/New_York","-0400","+1","USD","Dollar","en-US,es-US,haw,fr",9629091,327167434,"AS7922","Comcast Cable Communications, LLC","2026-04-07T10:22:35.939Z",381,821.422572178478,189.399999976158,78,88219.2000000179,768,NA,NA,"FINISHED","00:10:07",607
"15251","66ec53e096df305784c5aa6f","1","FALSE","1",5,"2","2","Orange",TRUE,29270,"1","Green Triangle Only",TRUE,245187,"3","Slanted / Diagonal",TRUE,60791,"2","Red Circle",TRUE,17395,"1","Blue Line",TRUE,11777,"3","Mostly around the center of the square",TRUE,26006,"Robot // Lines // CafeWall // Collision // Circles // Planets","futurist","described future society","futurist","Science","technology","trust and effectiveness","legitimate authority","tension",5,"6","3","4","6","4","their continued existence relies heavily on technological and scientific innovations","to continue being technologically and scientific innovative while ensuring the trustworhiness and effectiveness of the same","there are science and technologically enabled institutions and laws","3",NA,"2",NA,"6","7","6","6","6","7","6","4","futurist","6",NA,NA,"Science","6","technology","6","trust and effectiveness","4","legitimate authority","4","tension","3","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36","Win32","en-US","[""en-US"",""en""]",TRUE,TRUE,FALSE,2,8,10,1920,1080,1920,1032,32,32,1920,1920,1032,1,"https://weblab.psychologie.uni-freiburg.de/publix/a5af68e5-4c0d-4f04-af8b-b6d404243a64/e5fd669b-793d-4feb-b75a-50c06ef50ba3/start","weblab.psychologie.uni-freiburg.de","/publix/a5af68e5-4c0d-4f04-af8b-b6d404243a64/e5fd669b-793d-4feb-b75a-50c06ef50ba3/start","https:","https://app.prolific.com/","Study","America/Los_Angeles",420,"3g",NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"2607:fb90:4a28:b338:99c1:12a2:e3b4:1318","2607:fb90:4a28::/48","IPv6","Los Angeles","California","CA","US","United States","US","USA","Washington",".us",FALSE,"90001",34.05223,-118.24368,"America/Los_Angeles","-0700","+1","USD","Dollar","en-US,es-US,haw,fr",9629091,327167434,"AS21928","T-Mobile USA, Inc.","2026-04-07T10:24:26.264Z",433,807.351963048478,228.5,52.5,78336.200000003,945,NA,NA,"FINISHED","00:22:04",1324
"15252","69b86e94de9c503e9a58411d","1","FALSE","1",5,"2","4","Green",FALSE,9378,"4","No object would be hit",FALSE,2688,"1","Straight / Horizontal",FALSE,6727,"2","Red Circle",TRUE,10378,"1","Blue Line",TRUE,6578,"1","Mostly on the bottom left of the square",FALSE,15886,"Robot // CafeWall // Collision // Lines // Planets // Circles","moderngreen","described future society","moderngreen","Love","Kind","Knowledgable","Honest","Trustworthy",0,"5","4","4","5","5","The society represents a warm interaction with the people.","To love and show kindness.","By showing love and kindness.","4",NA,"2",NA,"4","4","4","4","4","4","4","4","futurist","5",NA,NA,"Love","5","Kind","5","Knowledgable","4","Honest","5","Trustworthy","4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36","Win32","en-US","[""en-US"",""en""]",TRUE,TRUE,FALSE,8,8,0,1366,768,1366,738,24,24,NA,NA,NA,1.5,"https://weblab.psychologie.uni-freiburg.de/publix/beef7f8a-eec4-47ff-b593-e1fe87f85392/e5fd669b-793d-4feb-b75a-50c06ef50ba3/start","weblab.psychologie.uni-freiburg.de","/publix/beef7f8a-eec4-47ff-b593-e1fe87f85392/e5fd669b-793d-4feb-b75a-50c06ef50ba3/start","https:","https://app.prolific.com/","Study","America/New_York",240,"3g",0.25,700,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"86.109.82.175","86.109.82.0/23","IPv4","Lewisburg","West Virginia","WV","US","United States","US","USA","Washington",".us",FALSE,"24901",37.80179,-80.44563,"America/New_York","-0400","+1","USD","Dollar","en-US,es-US,haw,fr",9629091,327167434,"AS11426","Charter Communications Inc","2026-04-07T10:29:13.683Z",363,1156.81294765847,204.699999928474,2.89999997615814,122163.200000048,NA,NA,NA,"FINISHED","00:08:24",504
"15253","697ca395ee14230291313ff7","1","FALSE","1",5,"2","2","Orange",TRUE,22828,"1","Green Triangle Only",TRUE,31039,"4","Mixed: some straight, some slanted",FALSE,30810,"2","Red Circle",TRUE,10263,"1","Blue Line",TRUE,12305,"3","Mostly around the center of the square",TRUE,31553,"Robot // CafeWall // Collision // Lines // Circles // Planets","lawBased","described future society","lawBased","Harsh","Strict","Fair","Lawful","Scared",0,"3","3","4","2","5","A future in where humanity is thriving but under strict laws and punishments for breaking these laws.","To keep civilian obedience through laws with real punishments.","By having punishments for breaking these rules.","3",NA,"2",NA,"6","3","2","1","5","4","1","5","institutional_law","5",NA,NA,"Harsh","2","Strict","3","Fair","4","Lawful","5","Scared","3","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36","Win32","en-US","[""en-US"",""en""]",TRUE,TRUE,FALSE,16,8,0,1600,1000,1600,952,32,32,1600,1584,984,1,"https://weblab.psychologie.uni-freiburg.de/publix/bcd3b81b-5c57-4f93-8c4f-2368c2f3ba0e/e5fd669b-793d-4feb-b75a-50c06ef50ba3/start","weblab.psychologie.uni-freiburg.de","/publix/bcd3b81b-5c57-4f93-8c4f-2368c2f3ba0e/e5fd669b-793d-4feb-b75a-50c06ef50ba3/start","https:","https://app.prolific.com/","Study","America/Los_Angeles",420,"4g",3.35,100,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"172.56.213.72","172.56.208.0/21","IPv4","Las Vegas","Nevada","NV","US","United States","US","USA","Washington",".us",FALSE,"89101",36.17497,-115.13722,"America/Los_Angeles","-0700","+1","USD","Dollar","en-US,es-US,haw,fr",9629091,327167434,"AS21928","T-Mobile USA, Inc.","2026-04-07T10:32:56.699Z",511,401.573776908026,126.099999999627,3.20000000111759,36658.4000000004,1000,NA,NA,"FINISHED","00:09:47",587
"15256","60f2a2b4932fed5326988e0f","1","FALSE","1",5,"3","2","Orange",TRUE,18954,"1","Green Triangle Only",TRUE,27866,"3","Slanted / Diagonal",TRUE,6995,"2","Red Circle",TRUE,3487,"1","Blue Line",TRUE,7152,"3","Mostly around the center of the square",TRUE,14218,"Lines // Planets // Collision // CafeWall // Circles // Robot","futurist","described future society","futurist","technocracy","scientific dictatorship","trust the experts","collectivism","oneism",0,"2","1","1","2","4","It is a society ran by scientist and effective laws. It is a period of peace 100 years in the future after a period of crisis. There are limited resources.","The main goals are to increase well being and quality of life of humans through innovative scientific methods.","There are primary scientific institutions running things but it is implied that the rule of law still exists as well.","3",NA,"3","It resembles the biased rhetoric of the scientists and tech entrepreneurs who are speaking about this kind of stuff today and these people have rejected God and are bent on corrupting the Imago Dei it seems. It makes many assumptions and tries to simplify things in a way that makes the bias obvious but I am not very smart.","6","6","1","1","4","6","6","6","futurist","7",NA,"I have a Biblical worldview and that bias is reflected in my answers....or at least I tried to do that.","technocracy","2","scientific dictatorship","2","trust the experts","1","collectivism","4","oneism","1","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36","MacIntel","en-US","[""en-US"",""en""]",TRUE,TRUE,FALSE,8,8,0,2240,1260,2240,1260,30,30,2240,2240,1260,2,"https://weblab.psychologie.uni-freiburg.de/publix/5dbb8519-fc1f-4c82-bc6d-b5bdc66148fa/e5fd669b-793d-4feb-b75a-50c06ef50ba3/start","weblab.psychologie.uni-freiburg.de","/publix/5dbb8519-fc1f-4c82-bc6d-b5bdc66148fa/e5fd669b-793d-4feb-b75a-50c06ef50ba3/start","https:","https://app.prolific.com/","Study","America/Chicago",300,"4g",10,100,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"2600:1700:8bb0:5990:d0a2:8335:82f9:40a0","2600:1700:8bb0:4000::/50","IPv6","Andover","Kansas","KS","US","United States","US","USA","Washington",".us",FALSE,"67002",37.7139,-97.1364,"America/Chicago","-0500","+1","USD","Dollar","en-US,es-US,haw,fr",9629091,327167434,"AS7018","AT&T Enterprises, LLC","2026-04-07T10:39:12.096Z",968,439.846797520957,136.549999952316,16,65201,1260,NA,NA,"FINISHED","00:12:17",737
