participant_id,study_condition,gender,age,cue,valence,response,response_position,response_level,timestamp,time_diff_sec,response_translated
6914df322c0ecd3bdadf7251,Diagnostic,male,33.0,Diagnostic,6.0,Richtig,1,1,2025-11-24 08:16:27.162,0.0,correct
6914df322c0ecd3bdadf7251,Diagnostic,male,33.0,Diagnostic,7.0,Fortschritt,2,1,2025-11-24 08:16:35.087,7.924999952316284,progress
6914df322c0ecd3bdadf7251,Diagnostic,male,33.0,Diagnostic,5.0,Zukunft,3,1,2025-11-24 08:16:38.866,11.7039999961853,future
6914df322c0ecd3bdadf7251,Diagnostic,male,33.0,Diagnostic,6.0,Zusammenspiel,4,1,2025-11-24 08:16:46.704,19.54200005531311,interaction
6914df322c0ecd3bdadf7251,Diagnostic,male,33.0,Diagnostic,7.0,Verbesserung,5,1,2025-11-24 08:16:54.584,27.42200016975403,improvement
6914df322c0ecd3bdadf7251,Diagnostic,male,33.0,Richtig,,Moralisch,1,2,2025-11-24 08:17:28.772,61.6100001335144,moral
6914df322c0ecd3bdadf7251,Diagnostic,male,33.0,Richtig,,Bessere Überlebenschancen,2,2,2025-11-24 08:17:43.200,76.03800010681152,better survival chances
6914df322c0ecd3bdadf7251,Diagnostic,male,33.0,Richtig,,Früherkennung,3,2,2025-11-24 08:17:46.542,79.38000011444092,early detection
6914df322c0ecd3bdadf7251,Diagnostic,male,33.0,Richtig,,Gleichheit,4,2,2025-11-24 08:17:52.758,85.59599995613098,equality
6914df322c0ecd3bdadf7251,Diagnostic,male,33.0,Richtig,,Niveau Steigerung,5,2,2025-11-24 08:18:02.481,95.31900000572205,level increase
6914df322c0ecd3bdadf7251,Diagnostic,male,33.0,Fortschritt,,Vorreiter,1,2,2025-11-24 08:18:09.888,102.7260000705719,pioneer
6914df322c0ecd3bdadf7251,Diagnostic,male,33.0,Fortschritt,,Zukunft,2,2,2025-11-24 08:18:36.167,129.0050001144409,future
6914df322c0ecd3bdadf7251,Diagnostic,male,33.0,Fortschritt,,Notwendig,3,2,2025-11-24 08:18:46.623,139.4609999656677,necessary
6914df322c0ecd3bdadf7251,Diagnostic,male,33.0,Fortschritt,,Fortschreitend,4,2,2025-11-24 08:18:53.192,146.0299999713898,progressive
6914df322c0ecd3bdadf7251,Diagnostic,male,33.0,Fortschritt,,Unaufhaltsam,5,2,2025-11-24 08:19:02.335,155.1730000972748,unstoppable
6914df322c0ecd3bdadf7251,Diagnostic,male,33.0,Zukunft,,Planbar,1,2,2025-11-24 08:19:11.294,164.1319999694824,plannable
6914df322c0ecd3bdadf7251,Diagnostic,male,33.0,Zukunft,,Flexibel,2,2,2025-11-24 08:19:35.832,188.6700000762939,flexible
6914df322c0ecd3bdadf7251,Diagnostic,male,33.0,Zukunft,,Verbesserung,3,2,2025-11-24 08:19:42.544,195.3819999694824,improvement
6914df322c0ecd3bdadf7251,Diagnostic,male,33.0,Zukunft,,Robotik,4,2,2025-11-24 08:19:50.948,203.7860000133514,robotics
6914df322c0ecd3bdadf7251,Diagnostic,male,33.0,Zukunft,,Künstliche Intelligenz,5,2,2025-11-24 08:20:04.452,217.289999961853,artificial intelligence
6914df322c0ecd3bdadf7251,Diagnostic,male,33.0,Zusammenspiel,,Mensch und KI,1,2,2025-11-24 08:20:14.792,227.6300001144409,human and AI
6914df322c0ecd3bdadf7251,Diagnostic,male,33.0,Zusammenspiel,,Erfahrung und Fortschritt,2,2,2025-11-24 08:20:25.895,238.7330000400543,experience and progress
6914df322c0ecd3bdadf7251,Diagnostic,male,33.0,Zusammenspiel,,Aufgabenteilung,3,2,2025-11-24 08:20:37.703,250.5410001277924,task division
6914df322c0ecd3bdadf7251,Diagnostic,male,33.0,Zusammenspiel,,Aufsicht,4,2,2025-11-24 08:20:39.304,252.1419999599457,supervision
6914df322c0ecd3bdadf7251,Diagnostic,male,33.0,Zusammenspiel,,Entscheidungsfindung,5,2,2025-11-24 08:20:47.217,260.0550000667572,decision making
6914df322c0ecd3bdadf7251,Diagnostic,male,33.0,Verbesserung,,Lebenserwartung,1,2,2025-11-24 08:21:00.799,273.6370000839233,life expectancy
6914df322c0ecd3bdadf7251,Diagnostic,male,33.0,Verbesserung,,Gesundheit,2,2,2025-11-24 08:21:14.920,287.7580001354218,health
6914df322c0ecd3bdadf7251,Diagnostic,male,33.0,Verbesserung,,Erfahrung,3,2,2025-11-24 08:21:16.888,289.7260000705719,experience
6914df322c0ecd3bdadf7251,Diagnostic,male,33.0,Verbesserung,,Ernährung,4,2,2025-11-24 08:21:19.440,292.2780001163483,nutrition
6914df322c0ecd3bdadf7251,Diagnostic,male,33.0,Verbesserung,,Sport,5,2,2025-11-24 08:21:23.879,296.7170000076294,sport
6915bc1300f2b6fe6ba76e5c,Diagnostic,female,41.0,Diagnostic,5.0,Labor,1,1,2025-11-24 08:21:17.228,0.0,laboratory
6915bc1300f2b6fe6ba76e5c,Diagnostic,female,41.0,Diagnostic,5.0,Bildschirm,2,1,2025-11-24 08:21:29.604,12.37600016593933,screen
6915bc1300f2b6fe6ba76e5c,Diagnostic,female,41.0,Diagnostic,5.0,Arzt,3,1,2025-11-24 08:21:35.664,18.43600010871887,doctor
6915bc1300f2b6fe6ba76e5c,Diagnostic,female,41.0,Diagnostic,4.0,Patient,4,1,2025-11-24 08:21:49.509,32.2810001373291,patient
6915bc1300f2b6fe6ba76e5c,Diagnostic,female,41.0,Diagnostic,4.0,Tastatur,5,1,2025-11-24 08:22:07.479,50.25100016593933,keyboard
6915bc1300f2b6fe6ba76e5c,Diagnostic,female,41.0,Labor,,Blutprobe,1,2,2025-11-24 08:22:58.556,101.3280000686646,blood sample
